Shyr,Name,Emotion 1,Emotion 2
گر  یوں  نہ  کیا  نفس  پہ  میں  جور  کروں  گا  اک  بیوی  ہے  پہلے  مری  تین  اور  کروں  گا ,سید سلیمان گیلانی,,
ہر  صوبے  سے  لاؤں  گا  دلہن  اپنے  لیے  میں  اس  عزم  کی  تکمیل  میں  فی  الفور  کروں  گا ,سید سلیمان گیلانی,,
اے  میرے  وطن  میں  تری  یکجہتی  کی  خاطر  چاروں  کو  اکٹھا  یہاں  لاہور  کروں  گا ,سید سلیمان گیلانی,,
محبوب  مرے  قدموں  میں  آ  آ  کے  گریں  گے  اوراد  و  وظائف  کا  میں  یوں  دور  کروں  گا ,سید سلیمان گیلانی,,
اولاد  کی  کثرت  پہ  ہے  سو  سو  یہاں  قدغن  میں  سو  سے  زیادہ  تو  بہر  طور  کروں  گا ,سید سلیمان گیلانی,,
میں  جور  کروں  ان  پہ  یہ  ہوگی  کہاں  جرأت  وہ  مل  کے  نہ  پیٹیں  گی  اگر  جور  کروں  گا ,سید سلیمان گیلانی,,
خرچے  کے  لیے  دھندہ  سمگلنگ  کا  ہے  اچھا  کس  شے  کی  سمگلنگ  ہو  ابھی  غور  کروں  گا ,سید سلیمان گیلانی,,
